iter	RMSE
0	9.170916502
1	9.012116733
2	8.855068872
3	8.697437818
4	8.544890384
5	8.402175291
6	8.251092454
7	8.123484473
8	7.993877235
9	7.878717547
10	7.725730618
11	7.603074898
12	7.485026876
13	7.365960639
14	7.245950321
15	7.135644839
16	7.022177126
17	6.913139888
18	6.809490394
19	6.716603302
20	6.617662404
21	6.520724758
22	6.414187975
23	6.316851841
24	6.24180365
25	6.148608032
26	6.062235656
27	5.97474118
28	5.901997587
29	5.824991249
30	5.747280736
31	5.674081818
32	5.608612819
33	5.537753523
34	5.469798809
35	5.397022243
36	5.337673531
37	5.270897286
38	5.214487767
39	5.15325184
40	5.082436206
41	5.028038343
42	4.976471881
43	4.916062543
44	4.860044893
45	4.812303068
46	4.764132353
47	4.717259594
48	4.665179156
49	4.620563066
50	4.570739428
51	4.51974679
52	4.482900614
53	4.44208493
54	4.394571769
55	4.351759581
56	4.3126493
57	4.269208099
58	4.236023567
59	4.191290883
60	4.151719518
61	4.106368497
62	4.062836323
63	4.022590601
64	3.991096578
65	3.957434997
66	3.928486943
67	3.890968918
68	3.862556156
69	3.831059162
70	3.804714525
71	3.775485219
72	3.750765074
73	3.728764833
74	3.703825203
75	3.678837854
76	3.646246367
77	3.624851474
78	3.602175566
79	3.570594196
80	3.548835597
81	3.52245081
82	3.49634595
83	3.469298315
84	3.442445218
85	3.420579844
86	3.396413886
87	3.375668858
88	3.359951126
89	3.335532366
90	3.313151538
91	3.297740142
92	3.278539394
93	3.258783037
94	3.244674675
95	3.226080302
96	3.20758667
97	3.190321757
98	3.168005146
99	3.147725727
100	3.132600183
101	3.11403024
102	3.098918175
103	3.082209726
104	3.068414619
105	3.051834575
106	3.034268268
107	3.015160866
108	2.999280951
109	2.985728587
110	2.975070375
111	2.958824718
112	2.945054084
113	2.934424339
114	2.921588569
115	2.910660255
116	2.901074324
117	2.887929912
118	2.880143454
119	2.869638188
120	2.861155729
121	2.851195051
122	2.839367933
123	2.827561988
124	2.819930011
125	2.808434355
126	2.796999381
127	2.787509135
128	2.769854108
129	2.757450285
130	2.743940456
131	2.735833763
132	2.727313513
133	2.721401449
134	2.713025466
135	2.701589725
136	2.688688899
137	2.679075278
138	2.668671339
139	2.662156711
140	2.652414454
141	2.640294078
142	2.633690424
143	2.624568144
144	2.617260458
145	2.608954802
146	2.603725535
147	2.591519674
148	2.582780265
149	2.573749967
